                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.2721,                0.57151,                 1.0838,                0.92778,                0.90075,                0.95014,                0.58868,                 1.2512,                0.49083,                 1.1125,               0.003268,               0.003268,               0.003268
                     71,                 1.2783,                0.56995,                  1.075,                0.92838,                0.90028,                 0.9501,                0.58874,                 1.2509,                0.49064,                 1.1122,               0.003169,               0.003169,               0.003169
                     72,                 1.2633,                0.56727,                 1.0791,                0.92823,                0.90072,                0.95002,                0.58895,                 1.2505,                0.49039,                  1.112,                0.00307,                0.00307,                0.00307
                     73,                 1.2677,                0.56606,                 1.0784,                0.92916,                0.89964,                0.95001,                0.58907,                 1.2502,                0.49016,                 1.1118,               0.002971,               0.002971,               0.002971
                     74,                 1.2655,                0.56166,                 1.0734,                0.92918,                0.89948,                0.94993,                0.58904,                   1.25,                 0.4899,                 1.1115,               0.002872,               0.002872,               0.002872
                     75,                 1.2546,                0.56013,                 1.0758,                0.92877,                0.89956,                0.94997,                0.58914,                 1.2497,                0.48952,                 1.1112,               0.002773,               0.002773,               0.002773
                     76,                 1.2518,                0.55969,                 1.0779,                0.92819,                 0.9004,                0.95016,                0.58931,                 1.2495,                0.48934,                 1.1112,               0.002674,               0.002674,               0.002674
                     77,                 1.2622,                0.56055,                  1.081,                0.92834,                0.90048,                0.95029,                 0.5894,                 1.2494,                0.48912,                 1.1112,               0.002575,               0.002575,               0.002575
                     78,                 1.2711,                0.56242,                  1.071,                0.92857,                0.90048,                 0.9503,                0.58964,                 1.2493,                 0.4888,                 1.1111,               0.002476,               0.002476,               0.002476
                     79,                 1.2605,                 0.5588,                 1.0695,                  0.929,                 0.9002,                0.95031,                0.58968,                 1.2491,                0.48868,                 1.1108,               0.002377,               0.002377,               0.002377
                     80,                 1.2504,                0.55561,                  1.071,                0.93018,                 0.8991,                0.95022,                 0.5897,                  1.249,                 0.4884,                 1.1106,               0.002278,               0.002278,               0.002278
                     81,                 1.2702,                0.56157,                 1.0708,                0.92973,                0.89963,                0.95021,                0.58994,                  1.249,                0.48816,                 1.1105,               0.002179,               0.002179,               0.002179
                     82,                 1.2508,                0.55137,                  1.068,                0.92989,                0.89994,                0.95042,                0.59005,                 1.2489,                0.48785,                 1.1105,                0.00208,                0.00208,                0.00208
                     83,                 1.2563,                0.55447,                 1.0673,                0.93039,                0.89946,                0.95028,                0.58998,                 1.2489,                0.48762,                 1.1104,               0.001981,               0.001981,               0.001981
                     84,                 1.2541,                0.55425,                 1.0671,                0.93032,                0.89928,                0.95042,                0.58995,                 1.2488,                0.48744,                 1.1103,               0.001882,               0.001882,               0.001882
                     85,                 1.2447,                0.54481,                 1.0638,                0.93053,                0.89947,                0.95055,                0.59014,                 1.2487,                0.48712,                 1.1102,               0.001783,               0.001783,               0.001783
                     86,                 1.2405,                0.54633,                 1.0707,                0.93028,                0.89974,                0.95052,                0.59023,                 1.2486,                0.48707,                 1.1101,               0.001684,               0.001684,               0.001684
                     87,                 1.2344,                0.54426,                 1.0676,                0.92969,                0.90078,                0.95049,                0.59013,                 1.2485,                0.48687,                 1.1101,               0.001585,               0.001585,               0.001585
                     88,                 1.2414,                0.54376,                 1.0626,                0.92961,                0.90103,                0.95055,                0.59038,                 1.2483,                0.48655,                   1.11,               0.001486,               0.001486,               0.001486
                     89,                 1.2312,                0.53988,                 1.0649,                0.92956,                0.90083,                0.95038,                0.59047,                 1.2482,                0.48638,                   1.11,               0.001387,               0.001387,               0.001387
                     90,                 1.2405,                0.54276,                 1.0632,                 0.9303,                0.90011,                0.95041,                0.59055,                  1.248,                 0.4862,                 1.1099,               0.001288,               0.001288,               0.001288
                     91,                 1.2208,                0.49686,                  1.076,                0.92956,                0.90083,                0.95052,                 0.5906,                 1.2477,                0.48603,                 1.1097,               0.001189,               0.001189,               0.001189
                     92,                 1.2137,                0.49431,                 1.0717,                0.92975,                0.90087,                0.95055,                0.59075,                 1.2474,                0.48565,                 1.1097,                0.00109,                0.00109,                0.00109
                     93,                 1.2101,                0.49405,                 1.0747,                0.92953,                0.90121,                0.95047,                0.59092,                 1.2472,                 0.4855,                 1.1096,               0.000991,               0.000991,               0.000991
                     94,                 1.2069,                0.48763,                 1.0696,                0.92985,                0.90097,                0.95056,                0.59141,                 1.2469,                0.48516,                 1.1094,               0.000892,               0.000892,               0.000892
                     95,                 1.2074,                0.48911,                 1.0708,                0.92971,                0.90136,                0.95074,                0.59158,                 1.2466,                0.48498,                 1.1093,               0.000793,               0.000793,               0.000793
                     96,                 1.2003,                0.48316,                 1.0707,                0.92986,                 0.9014,                0.95097,                0.59181,                 1.2463,                 0.4849,                 1.1091,               0.000694,               0.000694,               0.000694
                     97,                 1.1941,                0.48399,                 1.0667,                   0.93,                0.90135,                0.95096,                0.59187,                 1.2459,                0.48472,                  1.109,               0.000595,               0.000595,               0.000595
                     98,                 1.2011,                0.48497,                 1.0689,                0.92939,                0.90223,                0.95094,                0.59201,                 1.2457,                 0.4845,                 1.1089,               0.000496,               0.000496,               0.000496
                     99,                 1.1936,                0.48034,                 1.0632,                0.92942,                0.90231,                0.95094,                0.59204,                 1.2455,                0.48446,                 1.1089,               0.000397,               0.000397,               0.000397
                    100,                 1.1848,                0.47702,                 1.0573,                0.92868,                0.90311,                0.95101,                0.59236,                 1.2451,                0.48429,                 1.1087,               0.000298,               0.000298,               0.000298
